date,symbol,market_cap
2011-03-31,UBL,
2011-03-31,APOLLOHOSP,
2011-03-31,GESHIP,
2011-03-31,MRPL,
2011-03-31,JINDALSAW,
2011-03-31,JSWENERGY,
2011-03-31,SJVN,
2011-03-31,HFCL,
2011-03-31,PCBL,
2011-03-31,GRANULES,
2011-03-31,NAUKRI,
2011-03-31,WOCKPHARMA,
2011-03-31,MARICO,
2011-03-31,KARURVYSYA,
2011-03-31,ENGINERSIN,
2011-03-31,EIHOTEL,
2011-03-31,JUBLPHARMA,
2011-03-31,TECHM,
2011-03-31,COROMANDEL,
2011-03-31,KOTAKBANK,
2011-03-31,IOB,
2011-03-31,BAJAJ-AUTO,
2011-03-31,FSL,
2011-03-31,PETRONET,
2011-03-31,BHARTIARTL,
2011-03-31,TMPV,
2011-03-31,HINDPETRO,
2011-03-31,FORTIS,
2011-03-31,TATACOMM,
2011-03-31,IRB,
2011-03-31,KPIL,
2011-03-31,ADANIPOWER,
2011-03-31,ULTRACEMCO,
2011-03-31,GRAVITA,
2011-03-31,SUNPHARMA,
2011-03-31,CANBK,
2011-03-31,EICHERMOT,
2011-03-31,AUROPHARMA,
2011-03-31,EIDPARRY,
2011-03-31,DEEPAKNTR,
2011-03-31,NATCOPHARM,
2011-03-31,HSCL,
2011-03-31,CIPLA,
2011-03-31,GLENMARK,
2011-03-31,HBLENGINE,
2011-03-31,BHARATFORG,
2011-03-31,SOBHA,
2011-03-31,SRF,
2011-03-31,COALINDIA,
2011-03-31,WIPRO,
2011-03-31,TATACONSUM,
2011-03-31,ARE&M,
2011-03-31,ANANTRAJ,
2011-03-31,VEDL,
2011-03-31,TTML,
2011-03-31,AEGISLOG,
2011-03-31,DABUR,
2011-03-31,SIEMENS,
2011-03-31,ACE,
2011-03-31,ONGC,
2011-03-31,FINCABLES,
2011-03-31,JPPOWER,
2011-03-31,BATAINDIA,
2011-03-31,BAJAJFINSV,
2011-03-31,FACT,
2011-03-31,HEG,
2011-03-31,GMRAIRPORT,
2011-03-31,NATIONALUM,
2011-03-31,PIDILITIND,
2011-03-31,TITAGARH,
2011-03-31,IDEA,
2011-03-31,JSWSTEEL,
2011-03-31,INDUSINDBK,
2011-03-31,BRIGADE,
2011-03-31,CENTRALBK,
2011-03-31,HEROMOTOCO,
2011-03-31,SHRIRAMFIN,
2011-03-31,MARUTI,
2011-03-31,SBIN,
2011-03-31,CHAMBLFERT,
2011-03-31,ABB,
2011-03-31,CUMMINSIND,
2011-03-31,GODREJIND,
2011-03-31,INFY,
2011-03-31,COLPAL,
2011-03-31,WELSPUNLIV,
2011-03-31,HINDALCO,
2011-03-31,JSL,
2011-03-31,TITAN,
2011-03-31,POWERGRID,
2011-03-31,KEC,
2011-03-31,MANAPPURAM,
2011-03-31,USHAMART,
2011-03-31,BERGEPAINT,
2011-03-31,AARTIIND,
2011-03-31,PFOCUS,
2011-03-31,GRASIM,
2011-03-31,EXIDEIND,
