date,symbol
2016-09-30,VEDL
2016-09-30,BPCL
2016-09-30,MINDACORP
2016-09-30,JINDALSTEL
2016-09-30,ZEEL
2016-09-30,ACC
2016-09-30,LICHSGFIN
2016-09-30,SUNPHARMA
2016-09-30,HDFCBANK
2016-09-30,TCS
2016-09-30,FEDERALBNK
2016-09-30,INFY
2016-09-30,ICICIBANK
2016-09-30,IDEA
2016-09-30,DIVISLAB
2016-09-30,ULTRACEMCO
2016-09-30,ITC
2016-09-30,DLF
2016-09-30,ADANIPORTS
2016-09-30,INOXWIND
2016-09-30,SIEMENS
2016-09-30,SBIN
2016-09-30,GODREJCP
2016-09-30,OIL
2016-09-30,TECHM
2016-09-30,CIPLA
2016-09-30,APOLLOHOSP
2016-09-30,IIFL
2016-09-30,MCX
2016-09-30,RELIANCE
2016-09-30,HCLTECH
2016-09-30,IRB
2016-09-30,M&MFIN
2016-09-30,CONCOR
2016-10-31,PFC
2016-10-31,ADANIPORTS
2016-10-31,TCS
2016-10-31,JINDALSTEL
2016-10-31,DABUR
2016-10-31,IIFL
2016-10-31,ICICIBANK
2016-10-31,LICHSGFIN
2016-10-31,OIL
2016-10-31,RECLTD
2016-10-31,ITC
2016-10-31,MCX
2016-10-31,RELIANCE
2016-10-31,BPCL
2016-10-31,VEDL
2016-10-31,HCLTECH
2016-10-31,IDEA
2016-10-31,IRB
2016-10-31,DIVISLAB
2016-10-31,ULTRACEMCO
2016-10-31,DLF
2016-10-31,TECHM
2016-10-31,APOLLOHOSP
2016-10-31,CIPLA
2016-10-31,CONCOR
2016-10-31,INFY
2016-10-31,FEDERALBNK
2016-10-31,M&MFIN
2016-10-31,MINDACORP
2016-10-31,GODREJCP
2016-10-31,SUNPHARMA
2016-10-31,ACC
2016-10-31,INOXWIND
2016-10-31,SBIN
2016-10-31,SIEMENS
2016-10-31,M&M
2016-10-31,HDFCBANK
2016-10-31,ZEEL
2016-11-30,TCS
2016-11-30,COALINDIA
2016-11-30,SBIN
2016-11-30,FEDERALBNK
2016-11-30,INFY
2016-11-30,INOXWIND
2016-11-30,ICICIBANK
2016-11-30,HCLTECH
2016-11-30,SUNPHARMA
2016-11-30,HDFCBANK
2016-11-30,MINDACORP
2016-11-30,DABUR
2016-11-30,LICHSGFIN
2016-11-30,ZEEL
2016-11-30,ACC
2016-11-30,CIPLA
2016-11-30,ADANIPORTS
2016-11-30,ULTRACEMCO
2016-11-30,TECHM
2016-11-30,PFC
2016-11-30,BPCL
2016-11-30,MCX
2016-11-30,RELIANCE
2016-11-30,CONCOR
2016-11-30,ITC
2016-11-30,IIFL
2016-11-30,M&M
2016-11-30,OIL
2016-11-30,RECLTD
2016-11-30,M&MFIN
2016-11-30,IRB
2016-11-30,DLF
2016-11-30,DIVISLAB
2016-11-30,IDEA
2016-11-30,JINDALSTEL
2016-11-30,APOLLOHOSP
2016-11-30,VEDL
2016-11-30,GODREJCP
2016-11-30,SIEMENS
2016-12-31,APOLLOHOSP
2016-12-31,TECHM
2016-12-31,MINDACORP
2016-12-31,LICHSGFIN
2016-12-31,JINDALSTEL
2016-12-31,ONGC
2016-12-31,M&MFIN
2016-12-31,IRB
2016-12-31,CIPLA
2016-12-31,HDFCBANK
2016-12-31,OIL
2016-12-31,CONCOR
2016-12-31,VEDL
2016-12-31,ACC
2016-12-31,ZEEL
2016-12-31,SUNPHARMA
2016-12-31,HCLTECH
2016-12-31,RELIANCE
2016-12-31,MCX
2016-12-31,BPCL
2016-12-31,IIFL
2016-12-31,TCS
2016-12-31,INOXWIND
2016-12-31,FEDERALBNK
2016-12-31,INFY
2016-12-31,COALINDIA
2016-12-31,RECLTD
2016-12-31,ADANIPORTS
2016-12-31,GODREJCP
2016-12-31,ITC
2016-12-31,PFC
2016-12-31,DLF
2016-12-31,DIVISLAB
2016-12-31,SBIN
2016-12-31,ULTRACEMCO
2016-12-31,IDEA
2016-12-31,ICICIBANK
2016-12-31,M&M
2016-12-31,DABUR
2016-12-31,SIEMENS
2017-01-31,SIEMENS
2017-01-31,MINDACORP
2017-01-31,COALINDIA
2017-01-31,VEDL
2017-01-31,GODREJCP
2017-01-31,CONCOR
2017-01-31,BPCL
2017-01-31,INOXWIND
2017-01-31,SBIN
2017-01-31,APOLLOHOSP
2017-01-31,TECHM
2017-01-31,ULTRACEMCO
2017-01-31,FEDERALBNK
2017-01-31,ITC
2017-01-31,CIPLA
2017-01-31,IDEA
2017-01-31,DIVISLAB
2017-01-31,DLF
2017-01-31,IRB
2017-01-31,M&MFIN
2017-01-31,INFY
2017-01-31,M&M
2017-01-31,HCLTECH
2017-01-31,MCX
2017-01-31,RELIANCE
2017-01-31,OIL
2017-01-31,ZEEL
2017-01-31,ADANIPORTS
2017-01-31,TCS
2017-01-31,IIFL
2017-01-31,LICHSGFIN
2017-01-31,DABUR
2017-01-31,JINDALSTEL
2017-01-31,PFC
2017-01-31,RECLTD
2017-01-31,SUNPHARMA
2017-01-31,ONGC
2017-01-31,HDFCBANK
2017-01-31,ACC
2017-01-31,ICICIBANK
2017-02-28,PFC
2017-02-28,DIVISLAB
2017-02-28,ULTRACEMCO
2017-02-28,DABUR
2017-02-28,FEDERALBNK
2017-02-28,GODREJCP
2017-02-28,ADANIPORTS
2017-02-28,SIEMENS
2017-02-28,ICICIBANK
2017-02-28,SBIN
2017-02-28,TCS
2017-02-28,M&M
2017-02-28,COALINDIA
2017-02-28,IIFL
2017-02-28,INOXWIND
2017-02-28,INFY
2017-02-28,ZEEL
2017-02-28,MCX
2017-02-28,RECLTD
2017-02-28,HCLTECH
2017-02-28,RELIANCE
2017-02-28,DLF
2017-02-28,OIL
2017-02-28,ACC
2017-02-28,MINDACORP
2017-02-28,CONCOR
2017-02-28,ONGC
2017-02-28,HDFCBANK
2017-02-28,SUNPHARMA
2017-02-28,VEDL
2017-02-28,BPCL
2017-02-28,JINDALSTEL
2017-02-28,M&MFIN
2017-02-28,ITC
2017-02-28,IRB
2017-02-28,APOLLOHOSP
2017-02-28,TECHM
2017-02-28,IDEA
2017-02-28,CIPLA
2017-02-28,LICHSGFIN
2017-03-31,HDFCBANK
2017-03-31,HCLTECH
2017-03-31,IIFL
2017-03-31,INOXWIND
2017-03-31,ONGC
2017-03-31,IDEA
2017-03-31,RECLTD
2017-03-31,GAIL
2017-03-31,ICICIBANK
2017-03-31,ITC
2017-03-31,INFY
2017-03-31,IRB
2017-03-31,OIL
2017-03-31,PFC
2017-03-31,RELIANCE
2017-03-31,JINDALSTEL
2017-03-31,GODREJCP
2017-03-31,COALINDIA
2017-03-31,TCS
2017-03-31,SIEMENS
2017-03-31,ACC
2017-03-31,DABUR
2017-03-31,DIVISLAB
2017-03-31,SUNPHARMA
2017-03-31,BPCL
2017-03-31,ZEEL
2017-03-31,APOLLOHOSP
2017-03-31,M&MFIN
2017-03-31,VEDL
2017-03-31,TECHM
2017-03-31,CIPLA
2017-03-31,SBIN
2017-03-31,FEDERALBNK
2017-03-31,M&M
2017-03-31,ADANIPORTS
2017-03-31,ULTRACEMCO
2017-03-31,LICHSGFIN
2017-03-31,DLF
2017-03-31,CONCOR
2017-03-31,MINDACORP
2017-03-31,MCX
2017-04-30,ADANIENT
2017-04-30,ICICIBANK
2017-04-30,ZENTEC
2017-04-30,BALRAMCHIN
2017-04-30,WELCORP
2017-04-30,SUNTV
2017-04-30,IPCALAB
2017-04-30,ABFRL
2017-04-30,LUPIN
2017-04-30,ITC
2017-04-30,CHOLAFIN
2017-04-30,AMBUJACEM
2017-04-30,MAHABANK
2017-04-30,INDUSINDBK
2017-04-30,VOLTAS
2017-04-30,PERSISTENT
2017-04-30,FORTIS
2017-04-30,IGL
2017-04-30,INDIANB
2017-04-30,KOTAKBANK
2017-04-30,ABB
2017-04-30,GABRIEL
2017-04-30,GLENMARK
2017-04-30,TECHM
2017-04-30,ESCORTS
2017-04-30,HSCL
2017-04-30,RECLTD
2017-04-30,AUROPHARMA
2017-04-30,HINDUNILVR
2017-04-30,MRPL
2017-04-30,CEATLTD
2017-04-30,HAVELLS
2017-04-30,NMDC
2017-04-30,ACE
2017-04-30,GMDCLTD
2017-04-30,ZEEL
2017-04-30,EMAMILTD
2017-04-30,GRANULES
2017-04-30,JINDALSAW
2017-04-30,PFOCUS
2017-04-30,MINDACORP
