date,symbol,market_cap,bm,profitability,asset_growth
2015-11-30,CONCOR,338816763600.0,,0.14048157509644804,
2015-11-30,BPCL,1304056745000.0,,0.22524598883077743,
2015-11-30,PFC,281564532000.0,,0.1852457498997254,
2015-11-30,DLF,204346698000.0,,0.01852460813328949,
2015-11-30,IRB,89514315000.0,,0.1243119266055046,
2015-11-30,GODREJCP,418021284150.0,,0.22639758756668987,
2015-11-30,LICHSGFIN,244559693676.80002,,0.17715736040609137,
2015-12-31,JINDALSTEL,88057777500.0,,-0.06900484744796122,
2015-12-31,SUNPHARMA,1973781191500.0,,0.21358920352601607,
2015-12-31,OIL,230235088000.0,,0.12129668387516859,
2015-12-31,HDFCBANK,2732526143500.0,,0.16947461760141874,
2015-12-31,TECHM,504282706550.0,,0.2170966688438929,
2015-12-31,PFC,265856056000.0,,0.1852457498997254,
2015-12-31,TCS,4801642345500.0,,0.3961686580428557,
2015-12-31,LICHSGFIN,257403367230.4,,0.17715736040609137,
2015-12-31,ADANIPORTS,540310854999.99994,,0.2158848118903855,
2015-12-31,DABUR,487193823000.0,,0.3184257602862254,
2015-12-31,ACC,255455234250.00003,3.1262463121822447e-08,0.06970668566678542,
2015-12-31,IIFL,67170179650.0,,0.1860828772478499,
2015-12-31,ZEEL,419956325250.0,,0.2752761257434155,
2015-12-31,ICICIBANK,1518950519000.0002,,0.15278909155303702,
2015-12-31,HCLTECH,1204938512000.0,,0.3030878467635403,
2015-12-31,RELIANCE,3286502466000.0,,0.10819271484080019,
2015-12-31,SBIN,1789652075000.0,,0.1104914863558629,
2015-12-31,MCX,47214318720.0,,0.1045643153526971,
2015-12-31,IDEA,517142873000.0,,0.13866330829026793,
2015-12-31,SIEMENS,427575478000.00006,,0.2294313074066836,
2015-12-31,IRB,85630792500.0,,0.1243119266055046,
2015-12-31,GODREJCP,449299240200.00006,,0.22639758756668987,
2015-12-31,DLF,206843080000.0,,0.01852460813328949,
2015-12-31,FEDERALBNK,96169920000.0,,0.13740259740259742,
2015-12-31,ITC,2634426982000.0,,0.30813587093521555,
2015-12-31,DIVISLAB,306576874650.0,,0.2437070938215103,
